Song Number,Song Name,Artist,Album,Duration,One-Hit-Wonder (Y/N),Type of Release,Release Date,Monthly Listeners,Plays
1,Wya?,Wifisfuneral,Wya?,2:04,Y,Single,3-Mar-17,698084,52464951
2,Ease Off,YNG Martyr,Ease Off,2:24,Y,Single,28-Aug-20,780346,40032828
3,Sunny Nights,LeRoyce,The Sunny Nights Project,4:01,Y,Album,26-Sep-17,190907,13070873
4,Ivy,Frank Ocean,Blonde,4:09,N,Album,20-Aug-16,33299216,754753577
5,Laugh Now Cry Later (feat. Lil Durk),"Drake, Lil Durk",Laugh Now Cry Later,4:21,N,Single,14-Aug-20,80757806,950346345
6,What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2:40,N,Album,2-Oct-20,21647886,1105260924
7,Leave Me Alone,Flipp Dinero,LOVE FOR GUALA,3:15,Y,Album,4-Sep-18,2242229,645385460
8,Me You,Russ,There's Really A Wolf,2:44,N,Album,5-May-17,14571479,160901718
9,Dang! (feat. Anderson .Paak),"Mac Miller, Anderson .Paak",The Divine Feminine,5:05,N,Album,16-Sep-16,23857122,388963400
10,Two Shots (feat. gnash),"Goody Grace, gnash",Infinite,3:00,Y,EP,23-Mar-18,516123,78620746
11,idfc - Tarro Remix,"blackbear, Tarro",idfc,4:09,N,Single,17-Oct-16,15371013,141120210
12,Yellow,"Aminé, Nelly",Good For You,3:00,N,Album,28-Jul-17,7577699,42215974
13,Somebody,"The Chainsmokers, Drew Love",Sick Boy,3:41,N,Album,14-Dec-18,46625975,240861076
14,Myself,NAV,NAV,3:46,N,Album,24-Feb-17,11800927,361003410
15,Daddy Issues,The Neighbourhood,Wiped Out!,4:20,N,Album,30-Oct-15,37177068,1379184306
16,Heebiejeebies - Bonus,"Aminé, Kehlani",Good For You,3:40,N,Album,28-Jul-17,7577699,179098258
17,head first,Christian French,head first,2:34,N,Single,17-May-19,1237772,95933020
18,wave,gianni & kyle,wave,3:06,N,Single,4-Sep-17,622125,19838274
19,Autopilot,Quinn XCII,From Michigan With Love,3:01,N,Album,19-Feb-19,3597239,20322593
20,679 & No Diggity,Jackson Breit,Covers,3:02,Y,EP,1-Sep-16,206016,30255891
21,A Song to Sing,Kid Quill,The Name Above the Title,3:05,Y,Album,14-Oct-16,298141,24020136
22,Weekend (feat. Miguel),"Mac Miller, Miguel",GO:OD AM,3:28,N,Album,18-Sep-15,23847832,607931910
23,Self Care,Mac Miller,Swimming,5:45,N,Album,3-Aug-18,23847832,674699137
24,Hurt Feelings,Mac Miller,Swimming,4:05,N,Album,3-Aug-18,23847832,238636985
25,Redbone,Childish Gambino,"""Awaken, My Love!""",5:27,N,Album,2-Dec-16,23394403,1584603382
26,Snow On Tha Bluff,J. Cole,Snow On Tha Bluff,3:55,N,Single,16-Jun-20,43961157,104539671
27,Sex n' Drugs,"Abhi The Nomad, Harrison Sands, Capper King",Marbled,3:37,Y,Album,9-Feb-18,834771,64837454
28,Let Go,Aaron May,CHASE,2:56,N,Album,28-Feb-19,9105130,347926629
29,Desperado,Rihanna,ANTI (Deluxe),3:06,N,Album,28-Jan-16,85008725,387005051
30,Smile,Kota the Friend,Anything.,2:40,Y,Album,15-Feb-18,1599093,9894865
31,2009,Mac Miller,Swimming,5:48,N,Album,3-Aug-18,23847832,191558915
32,4u,blackbear,deadroses,2:39,N,Album,14-Feb-15,15313237,87254929
33,Say My Name,"ODESZA, Zyra",In Return,4:23,N,Album,8-Sep-14,5611111,203573307
34,Find Your Love,Drake,Thank Me Later,3:29,N,Album,1-Jan-10,80779779,174187910
35,Cecilia And The Satellite,Andrew McMahon In The Wilderness,Andrew McMahon In The Wilderness,3:43,Y,Album,14-Oct-14,452539,95716498
36,Island In The Sun,Weezer,Weezer,3:20,N,Album,15-May-01,14980710,739540030
37,Come Around,"Hoodie Allen, Christian French",Whatever USA,2:46,N,Album,16-Aug-19,2196511,48856501
